package	file	line_count	reviewer	status	evidence_file	reviewed_ranges	finding_count
packages/db	packages/db/drizzle/meta/0009_snapshot.json	2334	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-007.md	1-2334	0
packages/db	packages/db/drizzle/meta/0020_snapshot.json	7595	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-008.md	1-7595	0
packages/db	packages/db/drizzle/meta/0021_snapshot.json	8766	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-009.md	1-8766	0
packages/db	packages/db/drizzle/meta/0022_snapshot.json	9617	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-010.md	1-9617	0
packages/db	packages/db/drizzle/meta/0023_snapshot.json	9617	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-011.md	1-9617	0
packages/db	packages/db/drizzle/meta/_journal.json	174	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-012.md	1-174	0
packages/db	packages/db/drizzle.config.ts	28	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-012.md	1-28	0
packages/db	packages/db/eslint.config.mjs	3	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-012.md	1-3	0
packages/db	packages/db/package.json	49	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-012.md	1-49	0
packages/db	packages/db/scripts/migration-ledger-doctor.ts	81	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-012.md	1-81	0
packages/db	packages/db/src/__tests__/auth-security-phase1-journal.test.ts	247	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-012.md	1-247	0
packages/db	packages/db/src/__tests__/auth-security-phase1-schema.test.ts	121	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-012.md	1-121	0
packages/db	packages/db/src/__tests__/barrel-hygiene.test.ts	117	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-012.md	1-117	0
packages/db	packages/db/src/__tests__/codecamp-backfill-exercises.test.ts	76	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-012.md	1-76	0
packages/db	packages/db/src/__tests__/codecamp-curriculum-data-combined.test.ts	161	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-012.md	1-161	0
packages/db	packages/db/src/__tests__/codecamp-curriculum-data-phase-b.test.ts	115	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-013.md	1-115	0
packages/db	packages/db/src/__tests__/codecamp-curriculum-data-phase-c.test.ts	112	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-013.md	1-112	0
packages/db	packages/db/src/__tests__/codecamp-curriculum-data-phase-d.test.ts	136	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-013.md	1-136	0
packages/db	packages/db/src/__tests__/codecamp-curriculum-data.test.ts	125	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-013.md	1-125	0
packages/db	packages/db/src/__tests__/codecamp-curriculum-fidelity.test.ts	424	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-013.md	1-424	0
packages/db	packages/db/src/__tests__/codecamp-stale-seed.test.ts	61	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-013.md	1-61	0
packages/db	packages/db/src/__tests__/connection-options.test.ts	146	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-013.md	1-146	0
packages/db	packages/db/src/__tests__/contract-stubs.test.ts	151	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-014.md	1-151	0
packages/db	packages/db/src/__tests__/deploy-gate-contract.test.ts	314	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-014.md	1-314	0
packages/db	packages/db/src/__tests__/drizzle045-migration-format.test.ts	317	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-014.md	1-317	0
packages/db	packages/db/src/__tests__/drizzle045-phase1-contracts-adversarial.test.ts	605	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-015.md	1-605	0
packages/db	packages/db/src/__tests__/drizzle045-phase1-contracts.test.ts	312	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-015.md	1-312	0
packages/db	packages/db/src/__tests__/drizzle045-phase2-contracts-adversarial.test.ts	715	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-016.md	1-715	0
packages/db	packages/db/src/__tests__/drizzle045-phase3-integration-gates.test.ts	417	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-016.md	1-417	0
packages/db	packages/db/src/__tests__/drizzle045-phase4-closure-gates.test.ts	547	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-017.md	1-547	0
packages/db	packages/db/src/__tests__/drizzle045-schema-compile.test.ts	447	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-017.md	1-447	0
packages/db	packages/db/src/__tests__/drizzle045-zod-contract.test.ts	213	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-018.md	1-213	0
packages/db	packages/db/src/__tests__/env-guards.test.ts	178	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-018.md	1-178	0
packages/db	packages/db/src/__tests__/journal-integrity.test.ts	229	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-018.md	1-229	0
packages/db	packages/db/src/__tests__/ledger-doctor.test.ts	180	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-018.md	1-180	0
packages/db	packages/db/src/__tests__/migration-sql.test.ts	119	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-018.md	1-119	0
packages/db	packages/db/src/__tests__/package-esm-smoke.test.ts	125	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-018.md	1-125	0
packages/db	packages/db/src/__tests__/phase-2-insert-roundtrip.test.ts	190	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-019.md	1-190	0
packages/db	packages/db/src/__tests__/phase-2-marketing-schema-adversarial.test.ts	598	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-019.md	1-598	0
packages/db	packages/db/src/__tests__/phase-2-marketing-schema.test.ts	309	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-019.md	1-309	0
packages/db	packages/db/src/__tests__/sales-schema-parity.test.ts	176	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-020.md	1-176	0
packages/db	packages/db/src/__tests__/schema-parity.test.ts	584	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-020.md	1-584	0
packages/db	packages/db/src/__tests__/schema.test.ts	147	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-020.md	1-147	0
packages/db	packages/db/src/__tests__/snapshot-drift.test.ts	310	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-021.md	1-310	0
packages/db	packages/db/src/__tests__/stale-ledger.test.ts	133	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-021.md	1-133	0
packages/db	packages/db/src/client.ts	29	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-021.md	1-29	0
packages/db	packages/db/src/connection-options.ts	99	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-021.md	1-99	0
packages/db	packages/db/src/index.ts	6	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-021.md	1-6	0
packages/db	packages/db/src/privileged.ts	37	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-021.md	1-37	0
packages/db	packages/db/src/schema/analytics.ts	127	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-021.md	1-127	0
packages/db	packages/db/src/schema/audit.ts	43	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-021.md	1-43	0
packages/db	packages/db/src/schema/classrooms.ts	60	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-021.md	1-60	0
packages/db	packages/db/src/schema/codecamp.ts	164	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-021.md	1-164	0
packages/db	packages/db/src/schema/content.ts	94	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-022.md	1-94	0
packages/db	packages/db/src/schema/flashcards.ts	45	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-022.md	1-45	0
packages/db	packages/db/src/schema/index.ts	16	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-022.md	1-16	0
packages/db	packages/db/src/schema/licenses.ts	43	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-022.md	1-43	0
packages/db	packages/db/src/schema/marketing.ts	106	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-022.md	1-106	0
packages/db	packages/db/src/schema/primary.ts	233	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-022.md	1-233	0
packages/db	packages/db/src/schema/progress.ts	106	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-022.md	1-106	0
packages/db	packages/db/src/schema/questions.ts	69	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-022.md	1-69	0
packages/db	packages/db/src/schema/sales.ts	174	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-022.md	1-174	0
packages/db	packages/db/src/schema/science.ts	385	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-023.md	1-385	0
packages/db	packages/db/src/schema/stories.ts	189	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-023.md	1-189	0
packages/db	packages/db/src/schema/taxonomy.ts	24	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-023.md	1-24	0
packages/db	packages/db/src/schema/users.ts	100	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-023.md	1-100	0
packages/db	packages/db/src/seed/codecamp-backfill-exercises.ts	313	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-023.md	1-313	0
packages/db	packages/db/src/seed/codecamp-curriculum-data.ts	3674	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-024.md	1-3674	0
packages/db	packages/db/src/seed/codecamp-seed.ts	330	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-025.md	1-330	0
packages/db	packages/db/src/seed/index.ts	2	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-025.md	1-2	0
packages/db	packages/db/src/sentinels.ts	39	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-025.md	1-39	0
packages/db	packages/db/tsconfig.build.json	18	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-025.md	1-18	0
packages/db	packages/db/tsconfig.json	9	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-db-025.md	1-9	0
packages/auth	packages/auth/README.md	76	Measure Review B	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-001.md	1-76	0
packages/auth	packages/auth/eslint.config.mjs	3	Measure Review B	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-001.md	1-3	0
packages/auth	packages/auth/package.json	34	Measure Review B	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-001.md	1-34	1
packages/auth	packages/auth/src/__tests__/assert.test.ts	56	Measure Review B	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-001.md	1-56	0
packages/auth	packages/auth/src/__tests__/audit-retention-boundary.integration.test.ts	330	Measure Review B	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-001.md	1-330	0
packages/auth	packages/auth/src/__tests__/audit-retention-config.test.ts	74	Measure Review B	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-001.md	1-74	0
packages/auth	packages/auth/src/__tests__/audit-retention-job.integration.test.ts	150	Measure Review B	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-001.md	1-150	0
packages/auth	packages/auth/src/__tests__/audit-retention-job.test.ts	68	Measure Review B	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-001.md	1-68	0
packages/auth	packages/auth/src/__tests__/audit-retention.integration.test.ts	331	Measure Review B	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-001.md	1-331	0
packages/auth	packages/auth/src/__tests__/audit-retention.test.ts	38	Measure Review B	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-001.md	1-38	1
packages/auth	packages/auth/src/__tests__/audit.test.ts	172	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-002.md	1-172	0
packages/auth	packages/auth/src/__tests__/auth-security-phase1-session-contracts.test.ts	182	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-002.md	1-182	0
packages/auth	packages/auth/src/__tests__/auth-security-phase4-readme.test.ts	317	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-002.md	1-317	0
packages/auth	packages/auth/src/__tests__/password.test.ts	232	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-002.md	1-232	0
packages/auth	packages/auth/src/__tests__/permissions.test.ts	125	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-002.md	1-125	0
packages/auth	packages/auth/src/__tests__/phase-1-docs.test.ts	234	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-003.md	1-234	0
packages/auth	packages/auth/src/__tests__/phase-2-intern-role-widening.test.ts	436	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-003.md	1-436	0
packages/auth	packages/auth/src/__tests__/phase-6-quality-gates.test.ts	335	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-003.md	1-335	0
packages/auth	packages/auth/src/__tests__/phase-7-closeout.test.ts	451	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-004.md	1-451	0
packages/auth	packages/auth/src/__tests__/rate-limit.test.ts	62	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-004.md	1-62	0
packages/auth	packages/auth/src/__tests__/roles.test.ts	50	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-004.md	1-50	0
packages/auth	packages/auth/src/__tests__/server.test.ts	128	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-004.md	1-128	0
packages/auth	packages/auth/src/__tests__/session.test.ts	822	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-005.md	1-822	0
packages/auth	packages/auth/src/__tests__/tenant.test.ts	128	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-005.md	1-128	0
packages/auth	packages/auth/src/assert.ts	25	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-005.md	1-25	0
packages/auth	packages/auth/src/audit-retention-config.ts	30	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-005.md	1-30	0
packages/auth	packages/auth/src/audit-retention-job.ts	158	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-005.md	1-158	0
packages/auth	packages/auth/src/audit-retention.ts	97	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-006.md	1-97	0
packages/auth	packages/auth/src/audit.ts	110	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-006.md	1-110	0
packages/auth	packages/auth/src/index.ts	64	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-006.md	1-64	0
packages/auth	packages/auth/src/password.ts	82	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-006.md	1-82	0
packages/auth	packages/auth/src/permissions.ts	168	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-006.md	1-168	0
packages/auth	packages/auth/src/rate-limit.ts	70	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-006.md	1-70	0
packages/auth	packages/auth/src/roles.ts	41	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-006.md	1-41	0
packages/auth	packages/auth/src/server.ts	76	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-006.md	1-76	0
packages/auth	packages/auth/src/session.ts	217	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-006.md	1-217	0
packages/auth	packages/auth/src/tenant.ts	40	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-006.md	1-40	0
packages/auth	packages/auth/tsconfig.json	9	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-007.md	1-9	0
packages/auth	packages/auth/vitest.config.ts	22	gpt-5.5 measure line-review coordinator	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-007.md	1-22	0
packages/auth-client	packages/auth-client/eslint.config.mjs	3	Measure Review B	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-client-001.md	1-3	0
packages/auth-client	packages/auth-client/package.json	42	Measure Review B	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-client-001.md	1-42	0
packages/auth-client	packages/auth-client/src/__tests__/auth-security-phase1-contracts.test.ts	226	Measure Review B	reviewed	measure/tracks/shared_foundation_review_20260626/line-review/evidence/packages-auth-client-001.md	1-226	0
